,timepoint,cloudcover,lifted_index,prec_type,prec_amount,temp2m,rh2m,weather,wind10m.direction,wind10m.speed,fecha,latitud,longitud,ciudad,seeing_x,transparency_x,seeing_y,transparency_y,ciudad_x.1,seeing_x,transparency_x,ciudad_y.1,seeing_y,transparency_y
0,3,7,-1,none,0,22,44,mcloudyday,SE,2,2022-05-19,40.4165,-3.70256,Madrid,,,,,,,,,1,2
1,6,7,-1,none,0,25,43,mcloudyday,SE,3,2022-05-19,40.4165,-3.70256,Madrid,,,,,,,,,1,2
2,9,9,-1,none,0,24,43,cloudyday,SE,3,2022-05-19,40.4165,-3.70256,Madrid,,,,,,,,,1,2
3,12,5,-1,none,0,21,48,pcloudyday,SE,2,2022-05-19,40.4165,-3.70256,Madrid,,,,,,,,,1,2
4,15,6,2,none,0,15,64,mcloudynight,S,2,2022-05-19,40.4165,-3.70256,Madrid,,,,,,,,,4,2
5,18,8,2,none,0,15,56,cloudynight,S,2,2022-05-19,40.4165,-3.70256,Madrid,,,,,,,,,4,2
6,21,9,6,none,0,14,58,cloudynight,S,2,2022-05-19,40.4165,-3.70256,Madrid,,,,,,,,,5,2
7,24,9,6,none,0,16,50,cloudyday,S,2,2022-05-19,40.4165,-3.70256,Madrid,,,,,,,,,3,2
8,27,9,2,none,0,23,35,cloudyday,S,3,2022-05-19,40.4165,-3.70256,Madrid,,,,,,,,,1,2
9,30,9,-1,none,0,26,26,cloudyday,S,3,2022-05-19,40.4165,-3.70256,Madrid,,,,,,,,,1,2
10,33,9,2,none,0,25,34,cloudyday,SE,3,2022-05-19,40.4165,-3.70256,Madrid,,,,,,,,,1,2
11,36,9,-1,none,0,22,43,cloudyday,SE,2,2022-05-19,40.4165,-3.70256,Madrid,,,,,,,,,2,2
12,39,6,2,none,0,16,59,mcloudynight,SW,2,2022-05-19,40.4165,-3.70256,Madrid,,,,,,,,,5,2
13,42,6,6,none,0,16,50,mcloudynight,SW,2,2022-05-19,40.4165,-3.70256,Madrid,,,,,,,,,5,2
14,45,2,6,none,0,16,44,clearnight,SW,2,2022-05-19,40.4165,-3.70256,Madrid,,,,,,,,,5,2
15,48,5,6,none,0,18,40,pcloudyday,SW,2,2022-05-19,40.4165,-3.70256,Madrid,,,,,,,,,4,2
16,51,7,2,none,0,25,25,mcloudyday,S,2,2022-05-19,40.4165,-3.70256,Madrid,,,,,,,,,1,2
17,54,6,-1,none,0,29,27,mcloudyday,S,3,2022-05-19,40.4165,-3.70256,Madrid,,,,,,,,,1,2
18,57,9,-1,none,0,29,28,cloudyday,S,3,2022-05-19,40.4165,-3.70256,Madrid,,,,,,,,,1,2
19,60,9,-1,none,0,25,38,cloudyday,S,2,2022-05-19,40.4165,-3.70256,Madrid,,,,,,,,,2,2
20,63,7,2,none,0,21,40,mcloudynight,SW,2,2022-05-19,40.4165,-3.70256,Madrid,,,,,,,,,4,2
21,66,8,2,none,0,21,38,cloudynight,NW,2,2022-05-19,40.4165,-3.70256,Madrid,,,,,,,,,5,2
22,69,9,2,none,0,20,35,cloudynight,SW,2,2022-05-19,40.4165,-3.70256,Madrid,,,,,,,,,6,2
23,72,6,2,none,0,22,36,mcloudyday,SW,2,2022-05-19,40.4165,-3.70256,Madrid,,,,,,,,,4,2
