index_,country_name,m2016,f2016,country_code,short_name,table_name,long_name,2-alpha_code,currency_unit,special_notes,region,income_group,wb-2_code,national_accounts_base_year,national_accounts_reference_year,sna_price_valuation,lending_category,other_groups,system_of_national_accounts,alternative_conversion_factor,balance_of_payments_manual_in_use,external_debt_reporting_status,system_of_trade,government_accounting_concept,imf_data_dissemination_standard,latest_population_census,latest_household_survey,source_of_most_recent_income_and_expenditure_data,vital_registration_complete,latest_agricultural_census,latest_industrial_data,latest_trade_data,mean_age
0,Aruba,,1.8,ABW,Aruba,Aruba,Aruba,AW,Aruban florin,,Latin America & Caribbean,High income,AW,2000,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology,,BPM6,,General trade system,,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),,,Yes,,,2018,37
2,Afghanistan,53.2,4.635,AFG,Afghanistan,Afghanistan,Islamic State of Afghanistan,AF,Afghan afghani,Fiscal year end: March 20; reporting period for national accounts data: FY.,South Asia,Low income,AF,2016,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),1979,"Demographic and Health Survey, 2015","Integrated household survey (IHS), 2016/17",,,,2018,80
4,Angola,54.6,5.694,AGO,Angola,Angola,People's Republic of Angola,AO,Angolan kwanza,,Sub-Saharan Africa,Lower middle income,AO,2002,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,1991–96,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2014,"Demographic and Health Survey, 2015/16","Integrated household survey (IHS), 2008/09",,,,2018,72
5,Albania,12,1.713,ALB,Albania,Albania,Republic of Albania,AL,Albanian lek,,Europe & Central Asia,Upper middle income,AL,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,BPM6,Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Demographic and Health Survey, 2017/18","Living Standards Measurement Study Survey (LSMS), 2012",Yes,2012,2013,2018,38
6,Andorra,2.4,,AND,Andorra,Andorra,Principality of Andorra,AD,Euro,,Europe & Central Asia,High income,AD,2010,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology,,BPM6,,General trade system,,,2011. Population figures compiled from administrative registers.,,,Yes,,,2018,76
8,United Arab Emirates,6.6,1.748,ARE,United Arab Emirates,United Arab Emirates,United Arab Emirates,AE,U.A.E. dirham,,Middle East & North Africa,High income,AE,2010,,Value added at producer prices (VAP),,,Country uses the 1993 System of National Accounts methodology,,,,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"World Health Survey, 2003",,Yes,2012,1985,2018,89
9,Argentina,9.9,2.293,ARG,Argentina,Argentina,Argentine Republic,AR,Argentine peso,,Latin America & Caribbean,Upper middle income,AR,2004,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,1971–84; 2012-15,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2019/20","Integrated household survey (IHS), 2016",Yes,2008,2002,2018,30
10,Armenia,11.9,1.612,ARM,Armenia,Armenia,Republic of Armenia,AM,Armenian dram,,Europe & Central Asia,Upper middle income,AM,Original chained constant price data are rescaled.,2012,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,1990–95,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2020 (expected),"Demographic and Health Survey, 2015/16","Integrated household survey (IHS), 2016",Yes,2014,,2018,51
11,American Samoa,,,ASM,American Samoa,American Samoa,American Samoa,AS,U.S. dollar,,East Asia & Pacific,Upper middle income,AS,Original chained constant price data are rescaled.,2012,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,,,,,2020 (expected),,,Yes,2008,,,33
12,Antigua and Barbuda,5.1,2.051,ATG,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,AG,East Caribbean dollar,,Latin America & Caribbean,High income,AG,2006,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,BPM6,,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2011,,,Yes,2007,,2018,48
13,Australia,3.1,1.809,AUS,Australia,Australia,Commonwealth of Australia,AU,Australian dollar,Fiscal year end: June 30; reporting period for national accounts data: FY.,East Asia & Pacific,High income,AU,Original chained constant price data are rescaled.,2020,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2016,,"Expenditure survey/budget survey (ES/BS), 2010",Yes,2015-2016,2013,2018,31
